paso,desde,hasta,distancia
0,2500,447,2053
1,447,69,378
2,69,3215,3146
3,3215,357,2858
4,357,1117,760
5,1117,2340,1223
6,2340,3193,853
7,3193,769,2424
8,769,1950,1181
9,1950,2269,319
10,2269,2009,260
11,2009,1290,719
12,1290,322,968
13,322,2477,2155
14,2477,1251,1226
15,1251,3230,1979
16,3230,2886,344
17,2886,1504,1382
18,1504,569,935
19,569,1339,770
20,1339,4971,3632
21,4971,9,4962
22,9,49,40
23,49,2951,2902
24,2951,3244,293
25,3244,4340,1096
26,4340,657,3683
27,657,1446,789
28,1446,677,769
29,677,1138,461
30,1138,1301,163
31,1301,2840,1539
32,2840,1298,1542
33,1298,2213,915
34,2213,1520,693
35,1520,361,1159
36,361,662,301
37,662,580,82
38,580,4337,3757
39,4337,3133,1204
40,3133,3806,673
41,3806,1808,1998
42,1808,520,1288
43,520,4347,3827
44,4347,3309,1038
45,3309,1656,1653
46,1656,4938,3282
47,4938,2737,2201
48,2737,393,2344
49,393,307,86
50,307,4561,4254
51,4561,145,4416
52,145,2749,2604
53,2749,2309,440
54,2309,1575,734
55,1575,2114,539
56,2114,4800,2686
57,4800,2795,2005
58,2795,604,2191
59,604,1714,1110
60,1714,1310,404
61,1310,2218,908
62,2218,750,1468
63,750,2275,1525
64,2275,4606,2331
65,4606,1324,3282
66,1324,2521,1197
67,2521,4779,2258
68,4779,3292,1487
69,3292,405,2887
70,405,2584,2179
71,2584,3088,504
72,3088,4056,968
73,4056,1589,2467
74,1589,2570,981
75,2570,4532,1962
76,4532,4446,86
77,4446,3311,1135
78,3311,952,2359
79,952,4934,3982
80,4934,279,4655
81,279,713,434
82,713,1973,1260
83,1973,2209,236
84,2209,104,2105
85,104,3893,3789
86,3893,3431,462
87,3431,200,3231
88,200,4314,4114
89,4314,1048,3266
90,1048,3982,2934
91,3982,2146,1836
92,2146,1778,368
93,1778,1824,46
94,1824,2395,571
95,2395,1971,424
96,1971,1674,297
97,1674,612,1062
98,612,1483,871
99,1483,3243,1760
100,3243,3391,148
101,3391,782,2609
102,782,3684,2902
103,3684,2643,1041
104,2643,3172,529
105,3172,3388,216
106,3388,486,2902
107,486,821,335
108,821,4999,4178
109,4999,4608,391
110,4608,2053,2555
111,2053,4196,2143
112,4196,2610,1586
113,2610,1260,1350
114,1260,4855,3595
115,4855,740,4115
116,740,2837,2097
117,2837,18,2819
118,18,4113,4095
119,4113,450,3663
120,450,1330,880
121,1330,2587,1257
122,2587,4055,1468
123,4055,3375,680
124,3375,1681,1694
125,1681,4262,2581
126,4262,3659,603
127,3659,3921,262
128,3921,789,3132
129,789,3939,3150
130,3939,3310,629
131,3310,4770,1460
132,4770,3711,1059
133,3711,4952,1241
134,4952,3877,1075
135,3877,197,3680
136,197,3074,2877
137,3074,4637,1563
138,4637,3469,1168
139,3469,2735,734
140,2735,1294,1441
141,1294,3147,1853
142,3147,4794,1647
143,4794,2363,2431
144,2363,1665,698
145,1665,66,1599
146,66,3197,3131
147,3197,1721,1476
148,1721,2883,1162
